Product ID,Product Line,Product Category,Product Group,Product Name,Supplier Country,Supplier Name,Supplier ID
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Boy's and Girl's Ski Pants with Braces,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Children's Jacket,ES,Luna sastreria S.A.,4742.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Children's Jacket Sidney,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Children's Rain Set,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Children's Rain Suit,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit for Children,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit,US,AllSeasons Outdoor Clothing,772.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit Tonado,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Ski Jacket Oliver,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Ski Jacket w/Removable Fleece,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Tiny Mouse Children's Mitten,SE,Svensson Trading AB,6355.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",4ce Ace Children's Jacket,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",4ce Expedition Down Jacket,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",4ce Filip Children's Rainwear,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",4ce Grover Snow Jacket,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",4ce Jaguar Snow Pants,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",4ce Tiger Ski Jacket with Hood,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Amarone Children's Shorts,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Blondie Girl's Ski Jacket,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Dean Creek Children's Vest,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Down Children's Down Jacket,SE,Petterson AB,109.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Down Children's Vest,SE,Petterson AB,109.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Massif Freeride Jr.Gtx Gloves,FR,Massif S.A.,13199.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Massif Penquin Polyester Socks,FR,Massif S.A.,13199.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Monster Children's Pants with Zipper,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Montana Children's Gloves,SE,Svensson Trading AB,6355.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Montana Children's mitten,SE,Svensson Trading AB,6355.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Ranger Children's T-Shirt,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Scania Children's Gloves,SE,Svensson Trading AB,6355.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Scania Goretex Junior Gloves,SE,Svensson Trading AB,6355.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Tasmania Children's Shirt,NO,Scandinavian Clothing A/S,50.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Tony's Nuptse Jacket,US,Miller Trading Inc,15218.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Top Children's R&D Down Jacket,US,Top Sports Inc,14648.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids","Top Children's R&D Jacket, Long",US,Top Sports Inc,14648.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Top Children's R&D Pants,US,Top Sports Inc,14648.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Top Children's Ski Pullover,US,Top Sports Inc,14648.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids","Top Junior Fleece Hat, Polyester",US,Top Sports Inc,14648.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Top Junior T-Neck Fleece,US,Top Sports Inc,14648.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Twain Flash 100 Jr. Ski Gloves,US,Twain Inc,13198.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",11m Rain Jacket,US,AllSeasons Outdoor Clothing,772.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",11m Rain Pants,US,AllSeasons Outdoor Clothing,772.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",3 K Children's Shoes,US,3Top Sports,2963.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",3top Children's Shoes,US,3Top Sports,2963.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",3top Infant Baby Shoes,US,3Top Sports,2963.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",4goal 2 Trx Junior Football Boots,US,3Top Sports,2963.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",4goal Trx J Football Boots,US,3Top Sports,2963.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Ana Mini Panty,ES,Luna sastreria S.A.,4742.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Ana Shorts,ES,Luna sastreria S.A.,4742.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Ana Top,ES,Luna sastreria S.A.,4742.00
2.101E+11,Children,Children Outdoors,"Outdoor things, Kids",Ancnw Children's Shoes,US,3Top Sports,2963.00
2.102E+11,Children,Children Sports,"A-Team, Kids",A-team Children's Shorts w/Pockets,US,A Team Sports,3298.00
2.102E+11,Children,Children Sports,"A-Team, Kids",A-team Children's Sweat Pants,US,A Team Sports,3298.00
2.102E+11,Children,Children Sports,"A-Team, Kids",A-team Children's Sweat R.Neck Big Logo,US,A Team Sports,3298.00
2.102E+11,Children,Children Sports,"A-Team, Kids","A-team Children's Sweat w/Hood,Big Logo",US,A Team Sports,3298.00
